image_path,label
Dataset-Flores\Astromelia\108698.jpg,Astromelia
Dataset-Flores\Astromelia\108714.jpg,Astromelia
Dataset-Flores\Astromelia\108914.jpg,Astromelia
Dataset-Flores\Astromelia\108982.jpg,Astromelia
Dataset-Flores\Astromelia\108984.jpg,Astromelia
Dataset-Flores\Astromelia\109007.jpg,Astromelia
Dataset-Flores\Astromelia\109020.jpg,Astromelia
Dataset-Flores\Astromelia\109057.jpg,Astromelia
Dataset-Flores\Astromelia\109058.jpg,Astromelia
Dataset-Flores\Astromelia\109126.jpg,Astromelia
Dataset-Flores\Astromelia\109153.jpg,Astromelia
Dataset-Flores\Astromelia\109191.jpg,Astromelia
Dataset-Flores\Astromelia\109450.jpg,Astromelia
Dataset-Flores\Astromelia\109508.jpg,Astromelia
Dataset-Flores\Astromelia\109603.jpg,Astromelia
Dataset-Flores\Astromelia\109685.jpg,Astromelia
Dataset-Flores\Astromelia\109696.jpg,Astromelia
Dataset-Flores\Astromelia\109849.jpg,Astromelia
Dataset-Flores\Astromelia\110267.jpg,Astromelia
Dataset-Flores\Astromelia\110303.jpg,Astromelia
Dataset-Flores\Astromelia\110319.jpg,Astromelia
Dataset-Flores\Astromelia\110375.jpg,Astromelia
Dataset-Flores\Astromelia\110395.jpg,Astromelia
Dataset-Flores\Astromelia\11043.jpg,Astromelia
Dataset-Flores\Astromelia\110446.jpg,Astromelia
Dataset-Flores\Astromelia\110460.jpg,Astromelia
Dataset-Flores\Astromelia\110580.jpg,Astromelia
Dataset-Flores\Astromelia\110605.jpg,Astromelia
Dataset-Flores\Astromelia\110907.jpg,Astromelia
Dataset-Flores\Astromelia\110938.jpg,Astromelia
Dataset-Flores\Astromelia\110994.jpg,Astromelia
Dataset-Flores\Astromelia\111043.jpg,Astromelia
Dataset-Flores\Astromelia\111336.jpg,Astromelia
Dataset-Flores\Astromelia\111565.jpg,Astromelia
Dataset-Flores\Astromelia\111649.jpg,Astromelia
Dataset-Flores\Astromelia\1117.jpg,Astromelia
Dataset-Flores\Astromelia\112138.jpg,Astromelia
Dataset-Flores\Astromelia\112398.jpg,Astromelia
Dataset-Flores\Astromelia\112841.jpg,Astromelia
Dataset-Flores\Astromelia\112845.jpg,Astromelia
Dataset-Flores\Astromelia\11295.jpg,Astromelia
Dataset-Flores\Astromelia\113012.jpg,Astromelia
Dataset-Flores\Astromelia\113147.jpg,Astromelia
Dataset-Flores\Astromelia\113165.jpg,Astromelia
Dataset-Flores\Astromelia\113226.jpg,Astromelia
Dataset-Flores\Astromelia\113257.jpg,Astromelia
Dataset-Flores\Astromelia\113320.jpg,Astromelia
Dataset-Flores\Astromelia\113396.jpg,Astromelia
Dataset-Flores\Astromelia\113617.jpg,Astromelia
Dataset-Flores\Astromelia\113643.jpg,Astromelia
Dataset-Flores\Astromelia\113730.jpg,Astromelia
Dataset-Flores\Astromelia\113810.jpg,Astromelia
Dataset-Flores\Astromelia\113823.jpg,Astromelia
Dataset-Flores\Astromelia\113881.jpg,Astromelia
Dataset-Flores\Astromelia\113885.jpg,Astromelia
Dataset-Flores\Astromelia\113967.jpg,Astromelia
Dataset-Flores\Astromelia\113985.jpg,Astromelia
Dataset-Flores\Astromelia\11399.jpg,Astromelia
Dataset-Flores\Astromelia\114124.jpg,Astromelia
Dataset-Flores\Astromelia\114273.jpg,Astromelia
Dataset-Flores\Astromelia\114375.jpg,Astromelia
Dataset-Flores\Astromelia\114585.jpg,Astromelia
Dataset-Flores\Astromelia\114667.jpg,Astromelia
Dataset-Flores\Astromelia\114738.jpg,Astromelia
Dataset-Flores\Astromelia\11487.jpg,Astromelia
Dataset-Flores\Astromelia\114899.jpg,Astromelia
Dataset-Flores\Astromelia\115147.jpg,Astromelia
Dataset-Flores\Astromelia\115160.jpg,Astromelia
Dataset-Flores\Astromelia\11524.jpg,Astromelia
Dataset-Flores\Astromelia\115306.jpg,Astromelia
Dataset-Flores\Astromelia\115323.jpg,Astromelia
Dataset-Flores\Astromelia\115426.jpg,Astromelia
Dataset-Flores\Astromelia\115487.jpg,Astromelia
Dataset-Flores\Astromelia\115558.jpg,Astromelia
Dataset-Flores\Astromelia\115609.jpg,Astromelia
Dataset-Flores\Astromelia\115831.jpg,Astromelia
Dataset-Flores\Astromelia\115855.jpg,Astromelia
Dataset-Flores\Astromelia\115915.jpg,Astromelia
Dataset-Flores\Astromelia\115935.jpg,Astromelia
Dataset-Flores\Astromelia\116184.jpg,Astromelia
Dataset-Flores\Astromelia\116247.jpg,Astromelia
Dataset-Flores\Astromelia\116357.jpg,Astromelia
Dataset-Flores\Astromelia\116359.jpg,Astromelia
Dataset-Flores\Astromelia\116440.jpg,Astromelia
Dataset-Flores\Astromelia\116837.jpg,Astromelia
Dataset-Flores\Astromelia\116881.jpg,Astromelia
Dataset-Flores\Astromelia\116955.jpg,Astromelia
Dataset-Flores\Astromelia\116973.jpg,Astromelia
Dataset-Flores\Astromelia\117048.jpg,Astromelia
Dataset-Flores\Astromelia\117424.jpg,Astromelia
Dataset-Flores\Astromelia\117438.jpg,Astromelia
Dataset-Flores\Astromelia\117567.jpg,Astromelia
Dataset-Flores\Astromelia\117610.jpg,Astromelia
Dataset-Flores\Astromelia\117687.jpg,Astromelia
Dataset-Flores\Astromelia\117690.jpg,Astromelia
Dataset-Flores\Astromelia\117704.jpg,Astromelia
Dataset-Flores\Astromelia\117834.jpg,Astromelia
Dataset-Flores\Astromelia\118009.jpg,Astromelia
Dataset-Flores\Astromelia\118099.jpg,Astromelia
Dataset-Flores\Astromelia\118111.jpg,Astromelia
Dataset-Flores\Astromelia\118178.jpg,Astromelia
Dataset-Flores\Astromelia\118195.jpg,Astromelia
Dataset-Flores\Astromelia\118198.jpg,Astromelia
Dataset-Flores\Astromelia\118311.jpg,Astromelia
Dataset-Flores\Astromelia\118326.jpg,Astromelia
Dataset-Flores\Astromelia\118337.jpg,Astromelia
Dataset-Flores\Astromelia\118466.jpg,Astromelia
Dataset-Flores\Astromelia\11851.jpg,Astromelia
Dataset-Flores\Astromelia\118571.jpg,Astromelia
Dataset-Flores\Astromelia\118683.jpg,Astromelia
Dataset-Flores\Astromelia\118707.jpg,Astromelia
Dataset-Flores\Astromelia\118865.jpg,Astromelia
Dataset-Flores\Astromelia\118957.jpg,Astromelia
Dataset-Flores\Astromelia\118974.jpg,Astromelia
Dataset-Flores\Astromelia\119012.jpg,Astromelia
Dataset-Flores\Astromelia\119049.jpg,Astromelia
Dataset-Flores\Astromelia\119066.jpg,Astromelia
Dataset-Flores\Astromelia\11908.jpg,Astromelia
Dataset-Flores\Astromelia\119146.jpg,Astromelia
Dataset-Flores\Astromelia\119163.jpg,Astromelia
Dataset-Flores\Astromelia\119212.jpg,Astromelia
Dataset-Flores\Astromelia\119261.jpg,Astromelia
Dataset-Flores\Astromelia\119328.jpg,Astromelia
Dataset-Flores\Astromelia\119410.jpg,Astromelia
Dataset-Flores\Astromelia\119609.jpg,Astromelia
Dataset-Flores\Astromelia\119710.jpg,Astromelia
Dataset-Flores\Astromelia\119852.jpg,Astromelia
Dataset-Flores\Astromelia\120078.jpg,Astromelia
Dataset-Flores\Astromelia\120186.jpg,Astromelia
Dataset-Flores\Astromelia\120378.jpg,Astromelia
Dataset-Flores\Astromelia\120474.jpg,Astromelia
Dataset-Flores\Astromelia\120515.jpg,Astromelia
Dataset-Flores\Astromelia\12052.jpg,Astromelia
Dataset-Flores\Astromelia\120566.jpg,Astromelia
Dataset-Flores\Astromelia\120722.jpg,Astromelia
Dataset-Flores\Astromelia\120842.jpg,Astromelia
Dataset-Flores\Astromelia\121038.jpg,Astromelia
Dataset-Flores\Astromelia\121088.jpg,Astromelia
Dataset-Flores\Astromelia\121296.jpg,Astromelia
Dataset-Flores\Astromelia\121369.jpg,Astromelia
Dataset-Flores\Astromelia\121380.jpg,Astromelia
Dataset-Flores\Astromelia\121558.jpg,Astromelia
Dataset-Flores\Astromelia\121582.jpg,Astromelia
Dataset-Flores\Astromelia\121594.jpg,Astromelia
Dataset-Flores\Astromelia\121618.jpg,Astromelia
Dataset-Flores\Astromelia\121766.jpg,Astromelia
Dataset-Flores\Astromelia\121946.jpg,Astromelia
Dataset-Flores\Astromelia\12196.jpg,Astromelia
Dataset-Flores\Astromelia\121975.jpg,Astromelia
Dataset-Flores\Astromelia\121981.jpg,Astromelia
Dataset-Flores\Astromelia\122044.jpg,Astromelia
Dataset-Flores\Astromelia\12215.jpg,Astromelia
Dataset-Flores\Astromelia\122234.jpg,Astromelia
Dataset-Flores\Astromelia\122380.jpg,Astromelia
Dataset-Flores\Astromelia\122554.jpg,Astromelia
Dataset-Flores\Astromelia\122797.jpg,Astromelia
Dataset-Flores\Astromelia\122895.jpg,Astromelia
Dataset-Flores\Astromelia\123020.jpg,Astromelia
Dataset-Flores\Astromelia\123093.jpg,Astromelia
Dataset-Flores\Astromelia\123184.jpg,Astromelia
Dataset-Flores\Astromelia\123229.jpg,Astromelia
Dataset-Flores\Astromelia\12338.jpg,Astromelia
Dataset-Flores\Astromelia\123406.jpg,Astromelia
Dataset-Flores\Astromelia\123412.jpg,Astromelia
Dataset-Flores\Astromelia\123609.jpg,Astromelia
Dataset-Flores\Astromelia\123736.jpg,Astromelia
Dataset-Flores\Astromelia\12380.jpg,Astromelia
Dataset-Flores\Astromelia\123927.jpg,Astromelia
Dataset-Flores\Astromelia\12396.jpg,Astromelia
Dataset-Flores\Astromelia\124043.jpg,Astromelia
Dataset-Flores\Astromelia\124084.jpg,Astromelia
Dataset-Flores\Astromelia\124170.jpg,Astromelia
Dataset-Flores\Astromelia\124270.jpg,Astromelia
Dataset-Flores\Astromelia\124480.jpg,Astromelia
Dataset-Flores\Astromelia\124595.jpg,Astromelia
Dataset-Flores\Astromelia\125050.jpg,Astromelia
Dataset-Flores\Astromelia\125058.jpg,Astromelia
Dataset-Flores\Astromelia\12507.jpg,Astromelia
Dataset-Flores\Astromelia\125128.jpg,Astromelia
Dataset-Flores\Astromelia\125272.jpg,Astromelia
Dataset-Flores\Astromelia\125380.jpg,Astromelia
Dataset-Flores\Astromelia\125496.jpg,Astromelia
Dataset-Flores\Astromelia\12556.jpg,Astromelia
Dataset-Flores\Astromelia\12558.jpg,Astromelia
Dataset-Flores\Astromelia\125590.jpg,Astromelia
Dataset-Flores\Astromelia\125883.jpg,Astromelia
Dataset-Flores\Astromelia\125888.jpg,Astromelia
Dataset-Flores\Astromelia\125943.jpg,Astromelia
Dataset-Flores\Astromelia\125973.jpg,Astromelia
Dataset-Flores\Astromelia\126093.jpg,Astromelia
Dataset-Flores\Astromelia\12635.jpg,Astromelia
Dataset-Flores\Astromelia\126610.jpg,Astromelia
Dataset-Flores\Astromelia\126654.jpg,Astromelia
Dataset-Flores\Astromelia\126751.jpg,Astromelia
Dataset-Flores\Astromelia\126857.jpg,Astromelia
Dataset-Flores\Astromelia\127038.jpg,Astromelia
Dataset-Flores\Astromelia\127123.jpg,Astromelia
Dataset-Flores\Astromelia\127132.jpg,Astromelia
Dataset-Flores\Astromelia\127142.jpg,Astromelia
Dataset-Flores\Astromelia\127165.jpg,Astromelia
Dataset-Flores\Astromelia\127218.jpg,Astromelia
Dataset-Flores\Astromelia\127268.jpg,Astromelia
Dataset-Flores\Astromelia\127404.jpg,Astromelia
Dataset-Flores\Astromelia\127407.jpg,Astromelia
Dataset-Flores\Astromelia\127531.jpg,Astromelia
Dataset-Flores\Astromelia\127560.jpg,Astromelia
Dataset-Flores\Astromelia\127694.jpg,Astromelia
Dataset-Flores\Astromelia\127737.jpg,Astromelia
Dataset-Flores\Astromelia\127768.jpg,Astromelia
Dataset-Flores\Astromelia\127771.jpg,Astromelia
Dataset-Flores\Astromelia\127924.jpg,Astromelia
Dataset-Flores\Astromelia\128060.jpg,Astromelia
Dataset-Flores\Astromelia\128165.jpg,Astromelia
Dataset-Flores\Astromelia\128269.jpg,Astromelia
Dataset-Flores\Astromelia\128634.jpg,Astromelia
Dataset-Flores\Astromelia\128708.jpg,Astromelia
Dataset-Flores\Astromelia\128728.jpg,Astromelia
Dataset-Flores\Astromelia\128811.jpg,Astromelia
Dataset-Flores\Astromelia\128825.jpg,Astromelia
Dataset-Flores\Astromelia\128828.jpg,Astromelia
Dataset-Flores\Astromelia\128836.jpg,Astromelia
Dataset-Flores\Astromelia\128840.jpg,Astromelia
Dataset-Flores\Astromelia\128971.jpg,Astromelia
Dataset-Flores\Astromelia\128990.jpg,Astromelia
Dataset-Flores\Astromelia\129019.jpg,Astromelia
Dataset-Flores\Astromelia\129036.jpg,Astromelia
Dataset-Flores\Astromelia\129111.jpg,Astromelia
Dataset-Flores\Astromelia\129188.jpg,Astromelia
Dataset-Flores\Astromelia\12922.jpg,Astromelia
Dataset-Flores\Astromelia\129322.jpg,Astromelia
Dataset-Flores\Astromelia\129466.jpg,Astromelia
Dataset-Flores\Astromelia\129773.jpg,Astromelia
Dataset-Flores\Astromelia\129816.jpg,Astromelia
Dataset-Flores\Astromelia\129929.jpg,Astromelia
Dataset-Flores\Astromelia\130097.jpg,Astromelia
Dataset-Flores\Astromelia\130113.jpg,Astromelia
Dataset-Flores\Astromelia\130143.jpg,Astromelia
Dataset-Flores\Astromelia\130171.jpg,Astromelia
Dataset-Flores\Astromelia\130184.jpg,Astromelia
Dataset-Flores\Astromelia\130227.jpg,Astromelia
Dataset-Flores\Astromelia\13038.jpg,Astromelia
Dataset-Flores\Astromelia\130857.jpg,Astromelia
Dataset-Flores\Astromelia\130954.jpg,Astromelia
Dataset-Flores\Astromelia\130976.jpg,Astromelia
Dataset-Flores\Astromelia\131428.jpg,Astromelia
Dataset-Flores\Astromelia\131809.jpg,Astromelia
Dataset-Flores\Astromelia\131919.jpg,Astromelia
Dataset-Flores\Astromelia\131994.jpg,Astromelia
Dataset-Flores\Astromelia\132027.jpg,Astromelia
Dataset-Flores\Astromelia\132085.jpg,Astromelia
Dataset-Flores\Astromelia\132108.jpg,Astromelia
Dataset-Flores\Astromelia\132233.jpg,Astromelia
Dataset-Flores\Astromelia\132328.jpg,Astromelia
Dataset-Flores\Astromelia\132503.jpg,Astromelia
Dataset-Flores\Astromelia\132508.jpg,Astromelia
Dataset-Flores\Astromelia\132783.jpg,Astromelia
Dataset-Flores\Astromelia\132889.jpg,Astromelia
Dataset-Flores\Astromelia\13289.jpg,Astromelia
Dataset-Flores\Astromelia\132891.jpg,Astromelia
Dataset-Flores\Astromelia\132905.jpg,Astromelia
Dataset-Flores\Astromelia\132943.jpg,Astromelia
Dataset-Flores\Astromelia\132958.jpg,Astromelia
Dataset-Flores\Astromelia\133084.jpg,Astromelia
Dataset-Flores\Astromelia\133086.jpg,Astromelia
Dataset-Flores\Astromelia\133178.jpg,Astromelia
Dataset-Flores\Astromelia\133244.jpg,Astromelia
Dataset-Flores\Astromelia\133263.jpg,Astromelia
Dataset-Flores\Astromelia\133448.jpg,Astromelia
Dataset-Flores\Astromelia\13349.jpg,Astromelia
Dataset-Flores\Astromelia\133640.jpg,Astromelia
Dataset-Flores\Astromelia\133787.jpg,Astromelia
Dataset-Flores\Astromelia\133900.jpg,Astromelia
Dataset-Flores\Astromelia\133998.jpg,Astromelia
Dataset-Flores\Astromelia\134121.jpg,Astromelia
Dataset-Flores\Astromelia\134260.jpg,Astromelia
Dataset-Flores\Astromelia\134301.jpg,Astromelia
Dataset-Flores\Astromelia\134342.jpg,Astromelia
Dataset-Flores\Astromelia\134445.jpg,Astromelia
Dataset-Flores\Astromelia\134471.jpg,Astromelia
Dataset-Flores\Astromelia\134563.jpg,Astromelia
Dataset-Flores\Astromelia\134693.jpg,Astromelia
Dataset-Flores\Astromelia\13471.jpg,Astromelia
Dataset-Flores\Astromelia\134800.jpg,Astromelia
Dataset-Flores\Astromelia\135128.jpg,Astromelia
Dataset-Flores\Astromelia\135174.jpg,Astromelia
Dataset-Flores\Astromelia\135198.jpg,Astromelia
Dataset-Flores\Astromelia\135217.jpg,Astromelia
Dataset-Flores\Astromelia\135328.jpg,Astromelia
Dataset-Flores\Astromelia\135385.jpg,Astromelia
Dataset-Flores\Astromelia\135398.jpg,Astromelia
Dataset-Flores\Astromelia\1355.jpg,Astromelia
Dataset-Flores\Astromelia\135761.jpg,Astromelia
Dataset-Flores\Astromelia\135775.jpg,Astromelia
Dataset-Flores\Astromelia\13578.jpg,Astromelia
Dataset-Flores\Astromelia\135812.jpg,Astromelia
Dataset-Flores\Astromelia\135862.jpg,Astromelia
Dataset-Flores\Astromelia\136067.jpg,Astromelia
Dataset-Flores\Astromelia\136111.jpg,Astromelia
Dataset-Flores\Astromelia\136297.jpg,Astromelia
Dataset-Flores\Astromelia\136304.jpg,Astromelia
Dataset-Flores\Astromelia\136310.jpg,Astromelia
Dataset-Flores\Astromelia\136388.jpg,Astromelia
Dataset-Flores\Astromelia\136549.jpg,Astromelia
Dataset-Flores\Astromelia\136609.jpg,Astromelia
Dataset-Flores\Astromelia\136661.jpg,Astromelia
Dataset-Flores\Astromelia\136668.jpg,Astromelia
Dataset-Flores\Astromelia\136677.jpg,Astromelia
Dataset-Flores\Astromelia\136691.jpg,Astromelia
Dataset-Flores\Astromelia\136950.jpg,Astromelia
Dataset-Flores\Astromelia\136979.jpg,Astromelia
Dataset-Flores\Astromelia\137385.jpg,Astromelia
Dataset-Flores\Astromelia\137426.jpg,Astromelia
Dataset-Flores\Astromelia\137586.jpg,Astromelia
Dataset-Flores\Astromelia\137741.jpg,Astromelia
Dataset-Flores\Astromelia\137947.jpg,Astromelia
Dataset-Flores\Astromelia\13799.jpg,Astromelia
Dataset-Flores\Astromelia\138051.jpg,Astromelia
Dataset-Flores\Astromelia\138090.jpg,Astromelia
Dataset-Flores\Astromelia\1381.jpg,Astromelia
Dataset-Flores\Astromelia\13820.jpg,Astromelia
Dataset-Flores\Astromelia\138296.jpg,Astromelia
Dataset-Flores\Astromelia\138335.jpg,Astromelia
Dataset-Flores\Astromelia\138361.jpg,Astromelia
Dataset-Flores\Astromelia\138495.jpg,Astromelia
Dataset-Flores\Astromelia\138520.jpg,Astromelia
Dataset-Flores\Astromelia\138700.jpg,Astromelia
Dataset-Flores\Astromelia\138797.jpg,Astromelia
Dataset-Flores\Astromelia\13897.jpg,Astromelia
Dataset-Flores\Astromelia\139043.jpg,Astromelia
Dataset-Flores\Astromelia\139154.jpg,Astromelia
Dataset-Flores\Astromelia\139354.jpg,Astromelia
Dataset-Flores\Astromelia\139482.jpg,Astromelia
Dataset-Flores\Astromelia\139765.jpg,Astromelia
Dataset-Flores\Astromelia\139854.jpg,Astromelia
Dataset-Flores\Astromelia\140041.jpg,Astromelia
Dataset-Flores\Astromelia\14009.jpg,Astromelia
Dataset-Flores\Astromelia\140177.jpg,Astromelia
Dataset-Flores\Astromelia\140264.jpg,Astromelia
Dataset-Flores\Astromelia\140312.jpg,Astromelia
Dataset-Flores\Astromelia\140317.jpg,Astromelia
Dataset-Flores\Astromelia\140608.jpg,Astromelia
Dataset-Flores\Astromelia\140628.jpg,Astromelia
Dataset-Flores\Astromelia\140794.jpg,Astromelia
Dataset-Flores\Astromelia\140856.jpg,Astromelia
Dataset-Flores\Astromelia\140998.jpg,Astromelia
Dataset-Flores\Astromelia\141069.jpg,Astromelia
Dataset-Flores\Astromelia\141097.jpg,Astromelia
Dataset-Flores\Astromelia\141221.jpg,Astromelia
Dataset-Flores\Astromelia\141275.jpg,Astromelia
Dataset-Flores\Astromelia\141315.jpg,Astromelia
Dataset-Flores\Astromelia\141348.jpg,Astromelia
Dataset-Flores\Astromelia\141453.jpg,Astromelia
Dataset-Flores\Astromelia\141484.jpg,Astromelia
Dataset-Flores\Astromelia\141489.jpg,Astromelia
Dataset-Flores\Astromelia\141756.jpg,Astromelia
Dataset-Flores\Astromelia\14181.jpg,Astromelia
Dataset-Flores\Astromelia\141858.jpg,Astromelia
Dataset-Flores\Astromelia\141896.jpg,Astromelia
Dataset-Flores\Astromelia\14197.jpg,Astromelia
Dataset-Flores\Astromelia\142146.jpg,Astromelia
Dataset-Flores\Astromelia\142149.jpg,Astromelia
Dataset-Flores\Astromelia\142162.jpg,Astromelia
Dataset-Flores\Astromelia\14224.jpg,Astromelia
Dataset-Flores\Astromelia\142411.jpg,Astromelia
Dataset-Flores\Astromelia\142422.jpg,Astromelia
Dataset-Flores\Astromelia\142559.jpg,Astromelia
Dataset-Flores\Astromelia\142611.jpg,Astromelia
Dataset-Flores\Astromelia\142634.jpg,Astromelia
Dataset-Flores\Astromelia\14267.jpg,Astromelia
Dataset-Flores\Astromelia\142824.jpg,Astromelia
Dataset-Flores\Astromelia\142833.jpg,Astromelia
Dataset-Flores\Astromelia\142837.jpg,Astromelia
Dataset-Flores\Astromelia\142913.jpg,Astromelia
Dataset-Flores\Astromelia\14299.jpg,Astromelia
Dataset-Flores\Astromelia\143153.jpg,Astromelia
Dataset-Flores\Astromelia\143337.jpg,Astromelia
Dataset-Flores\Astromelia\143513.jpg,Astromelia
Dataset-Flores\Astromelia\143838.jpg,Astromelia
Dataset-Flores\Astromelia\143879.jpg,Astromelia
Dataset-Flores\Astromelia\143935.jpg,Astromelia
Dataset-Flores\Astromelia\143946.jpg,Astromelia
Dataset-Flores\Astromelia\144068.jpg,Astromelia
Dataset-Flores\Astromelia\144181.jpg,Astromelia
Dataset-Flores\Astromelia\144206.jpg,Astromelia
Dataset-Flores\Astromelia\144207.jpg,Astromelia
Dataset-Flores\Astromelia\144234.jpg,Astromelia
Dataset-Flores\Astromelia\144250.jpg,Astromelia
Dataset-Flores\Astromelia\144282.jpg,Astromelia
Dataset-Flores\Astromelia\144329.jpg,Astromelia
Dataset-Flores\Astromelia\144668.jpg,Astromelia
Dataset-Flores\Astromelia\144830.jpg,Astromelia
Dataset-Flores\Astromelia\144871.jpg,Astromelia
Dataset-Flores\Astromelia\144915.jpg,Astromelia
Dataset-Flores\Astromelia\14496.jpg,Astromelia
Dataset-Flores\Astromelia\145043.jpg,Astromelia
Dataset-Flores\Astromelia\145158.jpg,Astromelia
Dataset-Flores\Astromelia\145271.jpg,Astromelia
Dataset-Flores\Astromelia\145661.jpg,Astromelia
Dataset-Flores\Astromelia\145664.jpg,Astromelia
Dataset-Flores\Astromelia\145668.jpg,Astromelia
Dataset-Flores\Astromelia\145753.jpg,Astromelia
Dataset-Flores\Astromelia\14576.jpg,Astromelia
